municipio,estado,populacao_municipio,populacao_estado,area_km2,densidade_populacional,percentual_populacao_estado
Guajará,Amazonas,14332.0,4281209.0,7583.534,1.889884056694412,0.33476524972268346
Humaitá,Amazonas,62312.0,4281209.0,33111.129,1.8819050235345343,1.4554767123025294
Ipixuna,Amazonas,25458.0,4281209.0,12109.779,2.1022679274328624,0.5946451107619367
Iranduba,Amazonas,67114.0,4281209.0,2216.817,30.274939248481044,1.567641290112209
Itacoatiara,Amazonas,112520.0,4281209.0,8891.906,12.654204846519969,2.6282295491764125
Itamarati,Amazonas,11730.0,4281209.0,25260.429,0.4643626598740663,0.273988025345177
Itapiranga,Amazonas,10805.0,4281209.0,4335.075,2.4924597613651436,0.25238197901574067
Japurá,Amazonas,9397.0,4281209.0,55827.203,0.16832295897037866,0.2194940728191499
Juruá,Amazonas,11152.0,4281209.0,19442.548,0.5735873713671685,0.26048716612526973
Jutaí,Amazonas,27656.0,4281209.0,69457.415,0.3981720310207341,0.6459857484182622
Lábrea,Amazonas,48927.0,4281209.0,68262.68,0.7167459584065554,1.142831382443604
Manacapuru,Amazonas,110691.0,4281209.0,7336.579,15.08754966040712,2.585507972163938
Manaquiri,Amazonas,17009.0,4281209.0,3973.258,4.28086975474535,0.3972943156944685
Manaus,Amazonas,2279686.0,4281209.0,11401.092,199.95330271872203,53.24865008926217
Manicoré,Amazonas,57758.0,4281209.0,48315.038,1.195445608466664,1.3491048906979313
Maraã,Amazonas,15843.0,4281209.0,16830.827,0.9413084692748609,0.3700590183754169
Maués,Amazonas,65714.0,4281209.0,39991.066,1.6432170125197463,1.5349402470190079
Nhamundá,Amazonas,21106.0,4281209.0,14107.04,1.4961324274971928,0.49299158251792896
Nova Olinda do Norte,Amazonas,28267.0,4281209.0,5578.132,5.06746703018143,0.6602574179396521
Novo Airão,Amazonas,16467.0,4281209.0,37776.77,0.43590280481894034,0.38463434043981504
Novo Aripuanã,Amazonas,24987.0,4281209.0,41179.656,0.6067802023406897,0.5836435455498669
Parintins,Amazonas,101956.0,4281209.0,5956.047,17.118065052206607,2.381476821150287
Pauini,Amazonas,20232.0,4281209.0,41624.664,0.4860579775490801,0.47257678847260204
Presidente Figueiredo,Amazonas,33004.0,4281209.0,25459.099,1.2963538104785248,0.77090373303429
Rio Preto da Eva,Amazonas,25723.0,4281209.0,5815.622,4.423086644902299,0.6008349510617211
Santa Isabel do Rio Negro,Amazonas,14176.0,4281209.0,62800.078,0.2257322037084094,0.33112141920658394
Santo Antônio do Içá,Amazonas,30448.0,4281209.0,12366.214,2.4621925514146854,0.7112009715012745
Silves,Amazonas,12404.0,4281209.0,3723.382,3.331379912133646,0.28973124180576093
São Gabriel da Cachoeira,Amazonas,56406.0,4281209.0,109192.562,0.5165736472050175,1.3175250262250686
São Paulo de Olivença,Amazonas,35196.0,4281209.0,19658.502,1.7903703954655343,0.8221042233630734
São Sebastião do Uatumã,Amazonas,12247.0,4281209.0,10647.463,1.150227054087908,0.2860640534017377
Tabatinga,Amazonas,72283.0,4281209.0,3260.103,22.171998860158713,1.6883782127898916
Tapauá,Amazonas,20501.0,4281209.0,84946.035,0.24134145872729668,0.47886006032408135
Tefé,Amazonas,79278.0,4281209.0,23692.223,3.346161312089625,1.8517666388162781
Tonantins,Amazonas,20224.0,4281209.0,6446.894,3.1370145065205044,0.4723899253692123
Uarini,Amazonas,15278.0,4281209.0,10274.677,1.486956718931408,0.3568618116985179
Urucará,Amazonas,19505.0,4281209.0,27901.962,0.6990547833159546,0.4555956039520612
Urucurituba,Amazonas,25592.0,4281209.0,2886.494,8.866119243622194,0.5977750677437144
Abaré,Bahia,18240.0,14850513.0,1604.923,11.365031219566298,0.12282403981599826
Abaíra,Bahia,7452.0,14850513.0,538.677,13.83389303794296,0.05018008468798351
Acajutiba,Bahia,14215.0,14850513.0,181.475,78.33034853285577,0.09572059901230348
Adustina,Bahia,14554.0,14850513.0,629.099,23.134673556944136,0.0980033484365153
Aiquara,Bahia,4586.0,14850513.0,167.877,27.317619447571733,0.030881088080930267
Alagoinhas,Bahia,160662.0,14850513.0,707.835,226.9766259085804,1.0818616164976929
Alcobaça,Bahia,25494.0,14850513.0,1477.929,17.24981375965963,0.1716708372296634
Almadina,Bahia,5327.0,14850513.0,245.236,21.721933158263877,0.0358708146984552
Amargosa,Bahia,38478.0,14850513.0,431.655,89.14063314452515,0.2591021603092095
Amélia Rodrigues,Bahia,24848.0,14850513.0,166.872,148.90454959489907,0.16732081915284677
América Dourada,Bahia,15583.0,14850513.0,822.373,18.948822492956356,0.10493240199850334
Anagé,Bahia,26715.0,14850513.0,1899.683,14.06287259505928,0.17989277542129353
Andaraí,Bahia,13531.0,14850513.0,1590.316,8.508371921052168,0.09111469751920355
Andorinha,Bahia,15485.0,14850513.0,1362.386,11.3660886121848,0.10427249213545686
Angical,Bahia,14178.0,14850513.0,1530.05,9.266363844318814,0.09547144937013287
Anguera,Bahia,11456.0,14850513.0,187.84,60.98807495741056,0.0771421162353112
Antas,Bahia,15061.0,14850513.0,319.745,47.10316033088868,0.10141737191166392
Antônio Cardoso,Bahia,11501.0,14850513.0,293.53,39.18168500664328,0.07744513607038356
Antônio Gonçalves,Bahia,11236.0,14850513.0,345.284,32.54132829786494,0.07566068593051298
Aporá,Bahia,16379.0,14850513.0,479.262,34.17546143862856,0.11029248619222785
Apuarema,Bahia,7114.0,14850513.0,150.83,47.16568321951866,0.04790406903788442
Aracatu,Bahia,14422.0,14850513.0,1489.803,9.680474532538865,0.09711449025363636
Araci,Bahia,50336.0,14850513.0,1496.245,33.641549345194136,0.33895125373783386
Aramari,Bahia,10122.0,14850513.0,368.947,27.434834813672424,0.06815926156894378
Arataca,Bahia,10463.0,14850513.0,435.962,23.99979814754497,0.07045547854138103
Aratuípe,Bahia,8981.0,14850513.0,174.012,51.61138312300301,0.06047602530633117
Araçás,Bahia,11946.0,14850513.0,474.577,25.17188991459763,0.0804416655505436
Aurelino Leal,Bahia,11409.0,14850513.0,445.394,25.615522436314812,0.0768256288520134
Baianópolis,Bahia,14110.0,14850513.0,3320.723,4.249074674400726,0.09501355273046797
Baixa Grande,Bahia,18680.0,14850513.0,967.514,19.307214159174958,0.1257869004255947
Banzaê,Bahia,12309.0,14850513.0,409.507,30.05809424503122,0.08288602555346068
Barra,Bahia,53528.0,14850513.0,11428.112,4.683888292309351,0.36044546070563355
Barra da Estiva,Bahia,27582.0,14850513.0,1657.413,16.641597477514658,0.18573095757702107
Barra do Choça,Bahia,38481.0,14850513.0,765.936,50.240490067055205,0.25912236163154767
Barra do Mendes,Bahia,14345.0,14850513.0,1436.298,9.987481706442535,0.09659598964695698
Barra do Rocha,Bahia,5920.0,14850513.0,214.411,27.610523713801996,0.03986394274729768
Barreiras,Bahia,170667.0,14850513.0,8051.274,21.197514828088075,1.1492330264954485
Barro Alto,Bahia,13911.0,14850513.0,414.51,33.56010711442426,0.09367353168203683
Barro Preto,Bahia,5966.0,14850513.0,201.585,29.59545601111194,0.04017369635648277
Barrocas,Bahia,15743.0,14850513.0,207.297,75.94417671263935,0.10600980585653844
Belmonte,Bahia,20567.0,14850513.0,1939.447,10.604569240613433,0.13849353217629587
Belo Campo,Bahia,19042.0,14850513.0,772.756,24.64167214489438,0.1282245266543991
Biritinga,Bahia,15606.0,14850513.0,553.762,28.181782065219355,0.10508727880309589
